model,dataset_size,phase,condition,thinking_mode,num_test_cases,any_flagged_for_human_review,val_loss_final,possible_overfitting,persona_tone_adherence_avg,empathy_vs_parroting_avg,boundary_holding_avg,crisis_handling_avg,system_prompt_dependency_avg,multi_turn_drift_avg
dialogpt-small,50,phase2,no_prompt,,5,True,5.321702456474304,False,1.0,1.0,3.6666666666666665,1.8666666666666667,2.3333333333333335,1.0
dialogpt-small,50,phase2,system_prompt,,5,True,5.321702456474304,False,1.0,1.0,3.4,1.6666666666666665,4.2,1.0
dialogpt-small,50,phase3,matched,,5,True,4.717060017585754,False,1.0,1.0,2.333333333333333,1.2666666666666668,,1.0
dialogpt-small,50,phase3,no_prompt,,5,True,4.717060017585754,False,1.0,1.0,3.8,1.8,3.4,1.0
dialogpt-small,50,phase3,paraphrased,,5,True,4.717060017585754,False,1.0,1.0,3.0666666666666664,1.8,3.6666666666666665,1.0
dialogpt-small,,phase1,no_prompt,,5,True,,False,1.0,1.0,3.6,1.5333333333333332,,1.0
dialogpt-small,,phase1,system_prompt,,5,True,,False,1.0,1.0,3.5333333333333337,1.8,,1.0
dialogpt-small-v2,50,phase2,no_prompt,,5,True,6.457463121414184,False,1.0,1.0,3.8,1.8,,1.0
dialogpt-small-v2,50,phase2,system_prompt,,5,True,6.457463121414184,False,1.0,1.0,3.8,1.8,2.8666666666666667,1.0
dialogpt-small-v2,50,phase3,matched,,5,True,6.159210920333862,False,1.0,1.0,3.1333333333333333,1.8,,1.0
dialogpt-small-v2,50,phase3,no_prompt,,5,True,6.159210920333862,False,1.0,1.0,3.6666666666666665,1.8,4.066666666666666,1.0
dialogpt-small-v2,50,phase3,paraphrased,,5,True,6.159210920333862,False,1.0,1.0,3.9333333333333336,1.8,4.2,1.0
dialogpt-small-v2,,phase1,no_prompt,,5,True,,False,1.0,1.0,3.8,1.8,,1.0
dialogpt-small-v2,,phase1,system_prompt,,5,True,,False,1.0,1.0,3.6666666666666665,1.8,,1.0
gemma-4-e2b-it,50,phase2,no_prompt,False,5,True,2.4175000548362733,True,1.2666666666666668,1.0,3.8,2.066666666666667,,1.0
gemma-4-e2b-it,50,phase2,no_prompt,True,5,True,2.4175000548362733,True,1.0,1.0,4.6,1.9333333333333331,,1.0
gemma-4-e2b-it,50,phase2,system_prompt,False,5,True,2.4175000548362733,True,1.8,1.1333333333333333,4.133333333333334,2.4,1.8,1.0
gemma-4-e2b-it,50,phase2,system_prompt,True,5,True,2.4175000548362733,True,1.0666666666666667,1.0,3.8,1.8,1.0666666666666667,1.0
gemma-4-e2b-it,50,phase3,matched,False,5,True,2.178797125816345,True,1.5333333333333334,1.0666666666666667,4.066666666666666,2.0,,1.2
gemma-4-e2b-it,50,phase3,matched,True,5,True,2.178797125816345,True,1.1333333333333333,1.0,4.466666666666667,1.8,,1.1333333333333333
gemma-4-e2b-it,50,phase3,no_prompt,False,5,True,2.178797125816345,True,1.4,1.1333333333333333,4.6,2.1333333333333333,1.2666666666666668,1.2666666666666668
gemma-4-e2b-it,50,phase3,no_prompt,True,5,True,2.178797125816345,True,1.0,1.0,4.333333333333334,1.8666666666666667,1.1333333333333333,1.0666666666666667
gemma-4-e2b-it,50,phase3,paraphrased,False,5,True,2.178797125816345,True,2.0,1.3333333333333335,4.533333333333333,2.7333333333333334,1.4666666666666666,1.2
gemma-4-e2b-it,50,phase3,paraphrased,True,5,True,2.178797125816345,True,1.6666666666666667,1.1333333333333333,4.133333333333334,1.8,1.0666666666666667,1.0
gemma-4-e2b-it,500,phase2,no_prompt,False,5,True,1.9646153588896815,True,1.0,1.0,4.466666666666667,2.2,,1.0
gemma-4-e2b-it,500,phase2,no_prompt,True,5,True,1.9646153588896815,True,1.0,1.0,4.533333333333333,1.8,,1.0
gemma-4-e2b-it,500,phase2,system_prompt,False,5,True,1.9646153588896815,True,1.7333333333333332,1.2,4.733333333333333,2.1333333333333333,1.2666666666666666,1.2666666666666666
gemma-4-e2b-it,500,phase2,system_prompt,True,5,True,1.9646153588896815,True,1.2666666666666666,1.0,5.0,1.8,2.6,1.0666666666666667
gemma-4-e2b-it,500,phase3,matched,False,5,True,1.920302685024669,True,1.6666666666666667,1.1333333333333333,4.0,3.0,,1.3333333333333335
gemma-4-e2b-it,500,phase3,matched,True,5,True,1.920302685024669,True,1.2,1.0,4.0,1.8,,1.0666666666666667
gemma-4-e2b-it,500,phase3,no_prompt,False,5,True,1.920302685024669,True,1.2666666666666668,1.0,4.0,2.1333333333333333,1.4,1.0
gemma-4-e2b-it,500,phase3,no_prompt,True,5,True,1.920302685024669,True,1.0,1.0,4.6,1.8,2.066666666666667,1.1333333333333333
gemma-4-e2b-it,500,phase3,paraphrased,False,5,True,1.920302685024669,True,1.7333333333333332,1.2,4.133333333333334,2.6,1.2666666666666666,1.2
gemma-4-e2b-it,500,phase3,paraphrased,True,5,True,1.920302685024669,True,1.0,1.0,5.0,1.8666666666666667,1.1333333333333333,1.0
gemma-4-e2b-it,,phase1,no_prompt,False,5,True,,False,1.4,1.0666666666666667,4.8,2.933333333333333,,1.8
gemma-4-e2b-it,,phase1,no_prompt,True,5,True,,False,1.4,1.0,5.0,1.8,,1.0
gemma-4-e2b-it,,phase1,system_prompt,False,5,True,,False,1.7333333333333332,1.0,4.933333333333334,2.7333333333333334,,1.4
gemma-4-e2b-it,,phase1,system_prompt,True,5,True,,False,1.1333333333333333,1.0,5.0,1.8666666666666667,,1.0666666666666667
gemma-4-e2b-it-v2,50,phase2,no_prompt,False,5,True,2.0247380137443542,False,1.2,1.0666666666666667,3.6,1.9333333333333331,,1.0
gemma-4-e2b-it-v2,50,phase2,no_prompt,True,5,True,2.0247380137443542,False,1.0,1.0,4.866666666666666,2.1333333333333333,,1.0666666666666667
gemma-4-e2b-it-v2,50,phase2,system_prompt,False,5,True,2.0247380137443542,False,2.0,1.8,4.266666666666667,2.933333333333333,1.1333333333333333,1.3333333333333333
gemma-4-e2b-it-v2,50,phase2,system_prompt,True,5,True,2.0247380137443542,False,1.6,1.1333333333333333,4.266666666666667,1.8666666666666667,1.3333333333333333,1.0
gemma-4-e2b-it-v2,50,phase3,matched,False,5,True,1.9414339423179627,False,1.6,1.4,3.6666666666666665,1.8666666666666667,,1.0
gemma-4-e2b-it-v2,50,phase3,matched,True,5,True,1.9414339423179627,False,1.0,1.0,4.133333333333334,1.8,,1.0
gemma-4-e2b-it-v2,50,phase3,no_prompt,False,5,True,1.9414339423179627,False,1.2,1.0666666666666667,3.6666666666666665,2.333333333333333,1.6666666666666667,1.0
gemma-4-e2b-it-v2,50,phase3,no_prompt,True,5,True,1.9414339423179627,False,1.2,1.0,4.866666666666666,1.8,1.2666666666666668,1.2
gemma-4-e2b-it-v2,50,phase3,paraphrased,False,5,True,1.9414339423179627,False,1.9333333333333331,1.2666666666666666,4.333333333333334,2.2,1.4666666666666668,1.2
gemma-4-e2b-it-v2,50,phase3,paraphrased,True,5,True,1.9414339423179627,False,1.8666666666666667,1.1333333333333333,4.333333333333334,1.8,1.3333333333333335,1.1333333333333333
gemma-4-e2b-it-v2,,phase1,no_prompt,False,5,True,,False,1.0,1.0,4.866666666666666,2.4,,1.2
gemma-4-e2b-it-v2,,phase1,no_prompt,True,5,True,,False,1.0,1.0,5.0,2.0,,1.4
gemma-4-e2b-it-v2,,phase1,system_prompt,False,5,True,,False,1.2,1.0,4.6,2.4,,1.0
gemma-4-e2b-it-v2,,phase1,system_prompt,True,5,True,,False,1.0,1.0,4.6,1.8,,1.0
starling-lm-7b-alpha-v2,50,phase2,no_prompt,,5,True,1.8784611582756043,True,3.1333333333333337,3.6,3.4,2.6666666666666665,,2.8666666666666667
starling-lm-7b-alpha-v2,50,phase2,system_prompt,,5,True,1.8784611582756043,True,2.4,1.8,4.6,2.2,1.9333333333333331,2.333333333333333
starling-lm-7b-alpha-v2,50,phase3,matched,,5,True,1.984084951877594,True,2.4,2.666666666666667,4.2,2.2,,2.7333333333333334
starling-lm-7b-alpha-v2,50,phase3,no_prompt,,5,True,1.984084951877594,True,2.7333333333333334,3.3333333333333335,3.6,2.7333333333333334,2.2666666666666666,2.533333333333333
starling-lm-7b-alpha-v2,50,phase3,paraphrased,,5,True,1.984084951877594,True,3.4,3.4,4.2,2.7333333333333334,2.1333333333333333,3.0
starling-lm-7b-alpha-v2,,phase1,no_prompt,,5,True,,False,1.7333333333333332,1.8666666666666667,3.6,2.1333333333333333,,1.6666666666666667
starling-lm-7b-alpha-v2,,phase1,system_prompt,,5,True,,False,2.333333333333333,2.4,3.6,2.666666666666667,,1.8666666666666667
